Zone / Properties,Recommended_Crops
1,"Finger Millet, Little Millet, Maize, Sorghum"
2,"Finger Millet, Little Millet, Maize, Sorghum"
3,"Finger Millet, Little Millet, Maize, Sorghum"
4,"Finger Millet, Little Millet, Maize, Sorghum"
5,"Finger Millet, Maize, Sorghum"
6,"Black Gram, Finger Millet, Maize, Sorghum"
7,"Black Gram, Finger Millet, Little Millet, Pigeon Pea"
8,"Black Gram, Finger Millet, Little Millet, Pigeon Pea"
9,"Black Gram, Finger Millet, Maize, Sorghum"
10,"Finger Millet, Little Millet, Maize, Sorghum"
11,"Brinjal, Finger Millet, Maize, Sorghum"
12,"Black Gram, Finger Millet, Maize, Sorghum"
13,"Black Gram, Finger Millet, Maize, Sorghum"
14,"Finger Millet, Little Millet, Maize, Sorghum"
15,"Finger Millet, Little Millet, Maize, Sorghum"
16,"Finger Millet, Little Millet, Maize, Sorghum"
17,"Finger Millet, Little Millet, Maize, Sorghum"
18,"Finger Millet, Little Millet, Maize, Sorghum"
19,"Finger Millet, Little Millet, Maize, Sorghum"
20,"Finger Millet, Little Millet, Maize, Sorghum"
21,"Finger Millet, Little Millet, Maize, Sorghum"
22,"Finger Millet, Little Millet, Maize, Sorghum"
23,"Finger Millet, Little Millet, Maize, Sorghum"
24,"Black Gram, Finger Millet, Maize, Sorghum"
25,"Black Gram, Finger Millet, Maize, Sorghum"
26,"Black Gram, Paddy, Sugarcane, Tapioca"
27,"Finger Millet, Paddy, Sugarcane, Tapioca"
28,"Finger Millet, Little Millet, Maize, Sorghum"
29,"Black Gram, Finger Millet, Maize, Sorghum"
30,"Black Gram, Paddy, Sugarcane, Tapioca"
31,"Paddy, Sugarcane, Tapioca"
32,"Finger Millet, Paddy, Sugarcane, Tapioca"
33,"Finger Millet, Paddy, Sugarcane, Tapioca"
34,"Finger Millet, Little Millet, Maize, Sorghum"
35,"Finger Millet, Paddy, Sugarcane, Tapioca"
36,"Black Gram, Paddy, Sugarcane, Tapioca"
37,"Black Gram, Paddy, Sugarcane, Tapioca"
38,"Finger Millet, Paddy, Sugarcane, Tapioca"
39,"Finger Millet, Paddy, Sugarcane, Tapioca"
40,"Finger Millet, Little Millet, Maize, Sorghum"
41,"Black Gram, Paddy, Sugarcane, Tapioca"
42,"Black Gram, Paddy, Sugarcane, Tapioca"
43,"Black Gram, Paddy, Sugarcane, Tapioca"
44,"Finger Millet, Little Millet, Maize, Sorghum"
45,"Black Gram, Finger Millet, Maize, Sorghum"
46,"Maize, Paddy, Sorghum"
47,"Black Gram, Paddy, Sugarcane, Tapioca"
48,"Black Gram, Finger Millet"
49,"Finger Millet, Little Millet, Maize, Sorghum"
50,"Black Gram, Paddy, Sugarcane, Tapioca"
51,"Black Gram, Finger Millet, Maize, Sorghum"
52,"Finger Millet, Little Millet, Maize, Sorghum"
53,"Cowpea, Finger Millet, Foxtail Millet, Groundnut"


